show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0001,Movie,Dick Johnson Is Dead,Kirsten Johnson,Dick Johnson Sydnee Johnson Alan Johnson Viva Johnson,United States,September 25 2021,2020,PG-13,90 min,Documentaries,As her father nears the end of his life filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable
s0002,TV Show,Blood and Water,Nosipho Dumisa,Ama Qamata Khosi Ngema Gail Mabalane Thabang Molaba,South Africa,September 24 2021,2021,TV-MA,2 Seasons,International TV Shows TV Dramas TV Mysteries,After crossing paths at a party a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth
s0003,Movie,Ganglands,Julien Leclercq,Sami Bouajila Tracy Gotoas Samuel Jouy Nabiha Akkari,France,September 24 2021,2021,TV-MA,113 min,Action and Adventure International Movies Crime Movies,To protect his family from a powerful drug lord skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war
s0004,Movie,In the Tall Grass,Vincenzo Natali,Patrick Wilson Harrison Gilbertson Rachel Wilson Will Buie Jr,Canada,September 22 2021,2019,TV-MA,101 min,Horror Movies International Movies Thrillers,After hearing a childs cry for help a pregnant woman and her brother enter a field of tall grass only to discover there may be no way out
s0005,Movie,School of Rock,Richard Linklater,Jack Black Joan Cusack Mike White Sarah Silverman,United States,September 1 2021,2003,PG-13,109 min,Comedies Music and Musicals,A wannabe rock star in need of cash poses as a substitute teacher at a prep school and tries to turn his class into a rock band
s0006,TV Show,The Crown,Peter Morgan,Claire Foy Matt Smith Vanessa Kirby Eileen Atkins,United Kingdom,November 4 2016,2016,TV-MA,4 Seasons,British TV Shows TV Dramas TV Mysteries,This drama follows the political rivalries and romance of Queen Elizabeth IIs reign and the events that shaped the second half of the 20th century
s0007,Movie,The Irishman,Martin Scorsese,Robert De Niro Al Pacino Joe Pesci Harvey Keitel,United States,November 27 2019,2019,R,209 min,Dramas International Movies,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese
s0008,TV Show,Stranger Things,Matt Duffer,Millie Bobby Brown Finn Wolfhard Winona Ryder David Harbour,United States,July 15 2016,2016,TV-14,4 Seasons,TV Dramas TV Mysteries TV Sci-Fi and Fantasy,When a young boy vanishes a small town uncovers a mystery involving secret experiments terrifying supernatural forces and one strange little girl
s0009,Movie,Extraction,Sam Hargrave,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Golshifteh Farahani,United States,April 24 2020,2020,R,116 min,Action and Adventure International Movies Thrillers,A hardened mercenarys mission becomes a soul-searching race to survive when hes sent into Bangladesh to rescue a drug lords kidnapped son
s0010,TV Show,Money Heist,Alex Pina,Ursula Corbero Alvaro Morte Itziar Ituno Pedro Alonso,Spain,May 2 2017,2017,TV-MA,5 Seasons,Crime TV Shows International TV Shows Spanish-Language TV Shows,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history stealing 2.4 billion euros from the Royal Mint of Spain
s0011,Movie,6 Underground,Michael Bay,Ryan Reynolds Melanie Laurent Manuel Garcia-Rulfo Ben Hardy,United States,December 13 2019,2019,R,128 min,Action and Adventure International Movies Thrillers,Six individuals from all around the globe each the very best at what they do have been chosen not only for their skills but for a unique desire to delete their pasts to change the future
s0012,TV Show,Ozark,Jason Bateman,Jason Bateman Laura Linney Sofia Hublitz Skylar Gaertner,United States,July 21 2017,2017,TV-MA,4 Seasons,Crime TV Shows TV Dramas TV Mysteries,A financial advisor drags his family from Chicago to the Missouri Ozarks where he must launder 500 million in five years to appease a Mexican drug cartel
s0013,Movie,The Platform,Galder Gaztelu-Urrutia,Ivan Massague Antonia San Juan Zorion Eguileor Emilio Buale Coka,Spain,March 20 2020,2019,TV-MA,94 min,Horror Movies International Movies Thrillers,A vertical prison with one cell per level Two people per cell One platform of food A fight for survival
s0014,TV Show,The Witcher,Lauren Schmidt,Henry Cavill Anya Chalotra Freya Allan Joey Batey,United States,December 20 2019,2019,TV-MA,3 Seasons,TV Action and Adventure TV Dramas TV Fantasy,Geralt of Rivia a solitary monster hunter struggles to find his place in a world where people often prove more wicked than beasts
s0015,Movie,Bird Box,Susanne Bier,Sandra Bullock Trevante Rhodes John Malkovich Sarah Paulson,United States,December 21 2018,2018,TV-MA,124 min,Horror Movies International Movies Thrillers,Five years after an ominous unseen presence drives most of society to suicide a survivor and her two children make a desperate bid to reach safety
s0016,TV Show,Bridgerton,Chris Van Dusen,Phoebe Dynevor Rege-Jean Page Jonathan Bailey Nicola Coughlan,United States,December 25 2020,2020,TV-MA,2 Seasons,British TV Shows Romantic TV Shows TV Dramas,Wealth lust and betrayal set in the backdrop of Regency era England seen through the eyes of the powerful Bridgerton family
s0017,Movie,The Social Dilemma,Jeff Orlowski,Skyler Gisondo Kara Hayward Vincent Kartheiser Tristan Harris,United States,September 9 2020,2020,PG-13,94 min,Documentaries,This documentary-drama hybrid explores the dangerous human impact of social networking with tech experts sounding the alarm on their own creations
s0018,TV Show,Dark,Baran bo Odar,Louis Hofmann Karoline Eichhorn Lisa Vicari Maja Schone,Germany,December 1 2017,2017,TV-MA,3 Seasons,International TV Shows TV Dramas TV Mysteries,A family saga with a supernatural twist set in a German town where the disappearance of two young children exposes the relationships among four families
s0019,Movie,Parasite,Bong Joon-ho,Song Kang-ho Lee Sun-kyun Cho Yeo-jeong Choi Woo-shik,South Korea,April 8 2020,2019,R,132 min,International Movies Thrillers,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan
s0020,TV Show,Narcos,Jose Padilha,Wagner Moura Boyd Holbrook Pedro Pascal Joanna Christie,United States,August 28 2015,2015,TV-MA,3 Seasons,Crime TV Shows International TV Shows Spanish-Language TV Shows,A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar as well as the many other drug kingpins who plagued the country through the years
s0021,Movie,Marriage Story,Noah Baumbach,Scarlett Johansson Adam Driver Laura Dern Alan Alda,United States,December 6 2019,2019,R,137 min,Dramas International Movies,Noah Baumbachs incisive and compassionate look at a marriage breaking up and a family staying together
s0022,TV Show,House of Cards,Beau Willimon,Kevin Spacey Robin Wright Kate Mara Corey Stoll,United States,February 1 2013,2013,TV-MA,6 Seasons,TV Dramas TV Mysteries,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him
s0023,Movie,Roma,Alfonso Cuaron,Yalitza Aparicio Marina de Tavira Diego Cortina Autrey Carlos Peralta,Mexico,December 14 2018,2018,R,135 min,Dramas International Movies,A year in the life of a middle-class familys maid in Mexico City in the early 1970s
s0024,TV Show,Orange Is the New Black,Jenji Kohan,Taylor Schilling Laura Prepon Michael Harney Michelle Hurst,United States,July 11 2013,2013,TV-MA,7 Seasons,TV Comedies TV Dramas,Piper Chapmans wild past comes back to haunt her resulting in her arrest and detention in a federal penitentiary
s0025,Movie,The Trial of the Chicago 7,Aaron Sorkin,Eddie Redmayne Alex Sharp Sacha Baron Cohen Jeremy Strong,United States,October 16 2020,2020,R,129 min,Dramas International Movies,The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago Illinois
s0026,TV Show,13 Reasons Why,Brian Yorkey,Dylan Minnette Katherine Langford Christian Navarro Alisha Boe,United States,March 31 2017,2017,TV-MA,4 Seasons,TV Dramas TV Mysteries,After a teenage girls perplexing suicide a classmate receives a series of tapes that unravel the mystery of her tragic choice
